Participant,Age,Gender,UK,Interest,Familiarity ,Symbol,Group,D1.skill,D1.success,D2.skill,D2.success,D3.skill,D3.success,Responsible,Control,Deliberate,Negligent,Penalty
1,21-25,Female,Yes,6,5,?,FA,4,4,5,2,4,6,6,4,3,7,5
2,21-25,Male,Yes,2,3,%,MA,4,2,3,4,6,4,5,2,1,4,2
3,30+,Female,Yes,3,5,/,MP,4,4,5,3,5,6,5,3,4,4,2
4,18-20,Non-binary,Yes,2,2,%,MA,5,4,6,3,6,4,5,5,3,5,3
5,26-30,Female,Yes,7,7,/,MP,5,5,3,3,6,5,1,3,1,3,1
6,21-25,Non-binary,Yes,1,2,?,FA,3,4,2,3,6,6,5,3,1,5,4
7,18-20,Female,Yes,2,1,?,FA,7,5,6,6,6,7,2,2,1,1,1
8,21-25,Female,Yes,3,3,%,MA,4,4,2,3,6,4,5,3,2,3,3
9,21-25,Female,Yes,2,1,?,FA,6,6,6,6,7,7,5,3,1,2,2
10,30+,Male,Yes,2,5,@,FP,4,4,3,3,6,6,4,5,3,4,2
11,21-25,Female,Yes,6,5,%,MA,5,6,5,3,6,5,5,3,2,3,2
12,26-30,Male,Yes,7,7,@,FP,3,3,2,2,4,3,5,3,4,6,5
13,30+,Female,Yes,7,6,/,MP,4,5,4,4,6,6,5,4,4,4,3
14,18-20,Female,Yes,5,2,?,FA,4,3,1,5,1,3,4,2,4,2,4
15,18-20,Female,Yes,3,1,?,FA,5,1,2,4,6,4,4,4,4,4,7
16,21-25,Female,Yes,6,5,@,FP,5,4,4,4,6,6,5,3,3,5,6
17,21-25,Female,Yes,6,5,/,MP,5,5,4,4,5,5,4,5,3,6,5
18,18-20,Female,Yes,1,1,/,MP,5,4,5,5,6,6,2,3,2,3,3
19,21-25,Female,Yes,1,1,@,FP,6,6,5,5,7,6,2,4,1,3,4
20,26-30,Male,Yes,4,3,@,FP,5,4,4,4,4,5,3,2,3,6,4
21,21-25,Male,Yes,7,7,?,FA,4,5,5,6,6,7,4,5,1,3,2
22,26-30,Male,Yes,7,7,@,FP,7,6,7,5,7,7,7,7,7,4,1
23,21-25,Female,Yes,2,2,@,FP,5,5,3,3,7,6,4,3,6,6,1
24,18-20,Female,Yes,2,2,@,FP,5,4,5,6,6,6,7,4,1,1,3
25,21-25,Female,Yes,1,1,%,MA,4,4,2,2,5,5,6,4,3,3,5
26,18-20,Male,Yes,4,4,@,FP,6,5,4,4,6,6,5,4,6,3,4
27,30+,Female,Yes,7,6,?,FA,5,6,3,3,7,6,4,4,3,4,2
28,30+,Male,Yes,6,5,%,MA,6,6,4,4,6,6,3,2,1,4,1
29,30+,Male,Yes,3,4,/,MP,6,5,6,4,7,7,7,7,1,2,1
30,30+,Male,Yes,3,5,@,FP,4,3,3,2,5,5,5,3,2,3,1
31,26-30,Male,Yes,3,5,/,MP,6,4,5,3,6,6,5,3,1,1,1
32,30+,Female,Yes,6,4,%,MA,5,4,4,3,6,7,6,5,1,5,2
33,30+,Female,Yes,5,5,@,FP,7,7,5,5,7,7,4,4,1,1,1
34,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,
